,subject,period,musician,epochtype,epochs
0,01,pre,0,all,"[[ 7.37195135e-08  1.23055969e-07  1.63667526e-07 ... -1.25896029e-06
  -1.04520272e-06 -8.38611536e-07]
 [-1.83304154e-07 -1.24443384e-07 -4.06262338e-08 ... -1.24767429e-06
  -9.68930741e-07 -7.34117201e-07]
 [ 5.65441051e-07  6.27578781e-07  6.49557348e-07 ... -1.13235051e-06
  -9.53700856e-07 -7.52540140e-07]
 ...
 [-3.82459887e-08 -1.80076975e-07 -3.48418426e-07 ...  2.51474150e-07
   3.40712613e-07  3.93074945e-07]
 [-2.50086450e-07 -3.02163414e-07 -4.29377459e-07 ...  7.55381302e-08
   2.37008808e-07  3.69913828e-07]
 [-4.33764141e-07 -5.67038437e-07 -7.39511929e-07 ...  3.72033700e-07
   5.12619753e-07  6.32455371e-07]]"
1,01,post,0,all,"[[ 3.27986173e-07  2.03961862e-07  9.62409862e-08 ... -1.18713922e-06
  -1.07800066e-06 -9.89259738e-07]
 [ 3.57569092e-07  2.02705892e-07  8.10138003e-08 ... -1.21471641e-06
  -1.11314569e-06 -1.02764355e-06]
 [ 3.85022615e-07  2.39118046e-07  1.10638230e-07 ... -1.26551813e-06
  -1.15666520e-06 -1.06592181e-06]
 ...
 [-4.76926816e-07 -6.50065060e-07 -7.70472181e-07 ...  4.28653441e-07
   3.89723754e-07  2.39535442e-07]
 [-6.99876228e-07 -8.89052316e-07 -1.03154595e-06 ...  2.76457673e-07
   2.88972579e-07  1.90231036e-07]
 [-3.10501536e-07 -4.80839719e-07 -6.09922887e-07 ...  2.04101765e-07
   2.18179454e-07  1.44921910e-07]]"
2,04,pre,0,all,"[[-4.09694898e-07 -2.70378723e-07 -1.32251678e-07 ...  2.67620362e-07
   1.96529103e-07  1.19000829e-07]
 [-3.60962035e-07 -2.77820004e-07 -2.16523700e-07 ...  3.02638624e-07
   2.55276375e-07  2.14417854e-07]
 [-4.32545139e-07 -2.63398968e-07 -1.36264953e-07 ...  2.57831615e-07
   1.37037749e-07  1.24060841e-08]
 ...
 [ 2.87574134e-07  1.97202880e-07  4.63490269e-08 ...  2.46985225e-07
   1.21489868e-07 -8.33686037e-08]
 [ 1.61069098e-07 -6.71335064e-09 -1.62688135e-07 ...  6.61063858e-08
  -2.14430081e-07 -5.18221117e-07]
 [ 1.32001940e-07 -2.96162324e-08 -1.97783591e-07 ... -1.68042328e-07
  -4.18537691e-07 -6.98131194e-07]]"
3,04,post,0,all,"[[ 4.35854595e-07  3.41181894e-07  2.07074818e-07 ... -5.79430684e-07
  -6.12534739e-07 -5.78950807e-07]
 [ 4.00372028e-07  3.41930794e-07  2.55305951e-07 ... -5.68610267e-07
  -5.74677022e-07 -5.35306868e-07]
 [ 3.88452601e-07  2.90968069e-07  1.81433102e-07 ... -6.42153810e-07
  -6.28947338e-07 -5.70588831e-07]
 ...
 [-2.72857105e-07 -3.40063432e-07 -3.27943734e-07 ...  5.48426540e-07
   6.92516720e-07  7.35050404e-07]
 [-2.83194273e-07 -2.96021075e-07 -2.62228411e-07 ...  4.97763964e-07
   6.73808833e-07  7.79732630e-07]
 [-5.06462021e-07 -4.93849858e-07 -3.88431674e-07 ...  5.46386572e-07
   6.99653692e-07  7.69010864e-07]]"
4,05,pre,0,all,"[[ 1.02851723e-06  1.21343847e-06  1.29749518e-06 ... -1.32559938e-06
  -1.51366501e-06 -1.66297084e-06]
 [ 6.30022197e-07  6.56721735e-07  7.07673569e-07 ... -1.15924784e-06
  -1.25347034e-06 -1.33370926e-06]
 [ 9.89910843e-07  1.21931618e-06  1.42010096e-06 ... -1.43823394e-06
  -1.64046703e-06 -1.83452412e-06]
 ...
 [ 8.25724319e-08  4.17195482e-07  6.99948251e-07 ...  2.52828213e-07
   8.73194459e-08 -1.92733245e-08]
 [ 2.47677515e-08  4.25028506e-07  7.56591675e-07 ...  2.30097406e-07
   1.04342398e-07  3.23368829e-08]
 [ 6.99228441e-08  4.49002613e-07  7.56340795e-07 ...  1.92538611e-07
   8.16855147e-08  2.39961621e-08]]"
5,05,post,0,all,"[[ 2.19685239e-07  2.20029546e-07  2.12079755e-07 ... -9.79029162e-07
  -1.01194059e-06 -1.07700241e-06]
 [ 8.01525207e-08  5.54310956e-08  1.04744265e-08 ... -1.18763699e-06
  -1.27392903e-06 -1.32864107e-06]
 [ 2.02220388e-07  1.32616542e-07  7.41724513e-08 ... -1.28360985e-06
  -1.30654795e-06 -1.35604910e-06]
 ...
 [-3.79684351e-07 -5.89917999e-07 -6.17302229e-07 ... -2.40527952e-07
  -2.19637147e-07 -2.09208703e-07]
 [-5.94788631e-07 -8.31459876e-07 -8.73574922e-07 ... -4.51986536e-07
  -3.54600203e-07 -2.59988328e-07]
 [-4.06189658e-07 -6.60820473e-07 -7.74490394e-07 ...  1.10801079e-07
   1.61194376e-07  1.77121392e-07]]"
6,06,pre,1,all,"[[ 1.97471024e-07  2.19742147e-07  2.25239465e-07 ... -9.70785482e-07
  -9.74754391e-07 -1.01608993e-06]
 [ 6.00222056e-08  1.17882883e-07  1.56280978e-07 ... -7.85261975e-07
  -7.60001590e-07 -8.20295341e-07]
 [ 9.15921929e-08  1.32628250e-07  1.68037946e-07 ... -1.23549856e-06
  -1.26560623e-06 -1.34506954e-06]
 ...
 [-2.87548403e-07 -8.86756695e-08  2.36799951e-07 ...  5.74884120e-08
   1.27228165e-07  2.41019174e-07]
 [-3.95397786e-07 -1.94727468e-07  1.21101201e-07 ... -3.30961786e-07
  -2.49243748e-07 -1.50668872e-07]
 [-5.81340257e-07 -3.69265472e-07  1.02385220e-08 ... -1.70810513e-07
  -6.90792537e-08  8.22843373e-08]]"
7,06,post,1,all,"[[-6.34532955e-07 -6.32664276e-07 -5.89734757e-07 ... -1.15930672e-06
  -1.20451006e-06 -1.30272729e-06]
 [-6.17066095e-07 -6.83007388e-07 -7.06989828e-07 ... -9.74127328e-07
  -1.03568039e-06 -1.09098464e-06]
 [-6.46236667e-07 -6.47354594e-07 -6.30380927e-07 ... -1.34912419e-06
  -1.40305190e-06 -1.51050564e-06]
 ...
 [ 2.98737121e-07  4.18809333e-07  3.05095286e-07 ...  3.61881178e-07
   2.32595235e-07  1.47040656e-07]
 [-2.84621901e-07 -2.54913043e-07 -3.34511270e-07 ...  8.28165940e-08
   2.49551117e-08 -1.07723317e-08]
 [-1.53749779e-08  3.65338537e-08 -7.32056587e-08 ...  4.70163455e-07
   3.77541787e-07  2.70652871e-07]]"
8,07,pre,1,all,"[[-3.19918719e-07 -5.54174961e-07 -6.83405482e-07 ... -2.10040350e-06
  -2.31098402e-06 -2.43515289e-06]
 [-1.20801361e-07 -2.75234110e-07 -3.61935396e-07 ... -1.77050989e-06
  -1.91621510e-06 -1.99747982e-06]
 [-9.91328155e-08 -2.36498704e-07 -2.94679423e-07 ... -1.76866143e-06
  -1.89889819e-06 -1.98251567e-06]
 ...
 [-1.14114796e-07 -6.35439328e-08  9.56539798e-09 ...  2.71879966e-07
   9.32495721e-08 -2.15286575e-08]
 [ 4.60520879e-08  7.27376351e-08  8.63890477e-08 ...  1.86182719e-07
   1.09191501e-07  2.74936221e-08]
 [ 1.82345342e-07  1.97219394e-07  2.01009206e-07 ...  1.78825749e-07
   1.28544755e-07  1.00516427e-07]]"
9,07,post,1,all,"[[-5.01791568e-07 -4.92909804e-07 -4.04387204e-07 ... -1.09087844e-06
  -1.26242283e-06 -1.37476939e-06]
 [-2.53081170e-07 -2.37660109e-07 -1.89102399e-07 ... -1.14198948e-06
  -1.27371842e-06 -1.34724781e-06]
 [-2.84783821e-07 -2.99312377e-07 -2.53462535e-07 ... -9.33544631e-07
  -1.11321900e-06 -1.23138838e-06]
 ...
 [-3.30427319e-07 -1.75128790e-07 -3.02049063e-08 ...  2.33772442e-07
   3.29358692e-07  4.16729989e-07]
 [-4.23254005e-07 -3.08908583e-07 -1.82153431e-07 ...  2.16293534e-07
   3.05725675e-07  3.85313562e-07]
 [-1.21887357e-07 -4.20248983e-08  2.20443069e-08 ...  4.26931293e-07
   5.67265545e-07  7.01604759e-07]]"
